CustomerID,Workday_working_call_duration,Workday_after_work_call_duration,Weekend_call_duration,International_call_duration,Total_call_duration,Average_call_duration
K100050,40.61,18.82,1.23,4.47,60.67,1.29
K100120,68.12,33.88,8.33,13.42,110.34,1.07
K100170,100.20,31.50,9.00,4.86,140.70,1.67
K100390,55.80,18.00,19.20,5.62,93.00,3.44
K100450,58.63,9.09,11.31,5.06,79.03,2.26
K100600,46.69,3.20,22.20,22.65,72.09,2.18
K100610,35.79,17.79,1.23,6.86,54.81,6.85
K100620,66.00,36.00,24.60,14.23,126.60,3.33
K100710,69.60,24.30,33.00,13.06,126.90,3.63
K100800,37.35,11.16,27.02,15.86,75.52,0.70
K100820,39.12,26.85,50.62,0.24,116.59,1.51
K101070,30.09,39.61,3.01,0.57,72.71,2.02
K101160,25.00,25.22,8.63,18.50,58.85,1.01
K101230,48.21,42.10,10.46,1.00,100.77,1.20
K101260,53.40,95.10,21.00,13.32,169.50,2.42
K101330,23.43,19.24,19.70,13.31,62.37,1.30
K101350,35.93,18.48,20.42,10.13,74.83,0.74
K101390,60.60,65.40,12.00,9.90,138.00,1.89
K101450,61.20,42.30,54.00,51.06,157.50,3.66
K101470,43.80,45.60,27.00,36.10,116.40,2.33
K101510,47.72,39.60,16.24,10.89,103.55,1.42
K101540,37.80,120.90,13.00,20.26,171.70,3.90
K101650,44.40,75.60,21.60,13.64,141.60,2.53
K102270,115.80,18.60,16.50,49.00,150.90,11.61
K102480,72.60,66.00,14.40,40.01,153.00,2.83
K102590,52.20,79.50,8.40,10.54,140.10,5.60
K102690,319.20,204.90,63.00,193.48,587.10,1.73
K102700,691.20,216.90,22.80,254.21,930.90,1.89
K102810,654.00,159.90,70.80,212.61,884.70,2.25
K103010,431.40,200.40,136.00,234.99,767.80,2.08
K103130,529.80,288.30,77.40,282.44,895.50,2.05
K103170,409.80,336.30,42.00,240.36,788.10,3.15
K103200,628.80,165.30,8.50,186.67,802.60,1.79
K103240,556.80,87.60,24.60,199.14,669.00,2.28
K103270,755.40,101.70,71.40,276.04,928.50,1.79
K103320,709.80,132.60,15.00,222.38,857.40,1.81
K103530,436.20,368.10,44.40,205.25,848.70,1.62
K103720,508.20,147.60,24.60,198.85,680.40,1.59
K103770,690.60,155.10,18.60,213.30,864.30,1.89
K103820,330.00,231.90,42.00,192.79,603.90,3.57
K104050,599.40,250.50,50.40,237.75,900.30,2.26
K104640,728.40,171.30,28.80,208.29,928.50,2.40
K104700,742.20,161.10,30.60,290.50,933.90,2.15
K104820,622.80,205.80,52.80,212.12,881.40,2.36
K104900,424.20,303.60,54.60,243.76,782.40,2.13
K104990,588.60,198.90,19.00,250.27,806.50,1.76
K105150,587.40,235.20,18.60,275.43,841.20,2.39
K105170,589.80,141.60,112.20,264.08,843.60,1.85
K105190,526.20,197.40,26.50,181.56,750.10,1.71
K105240,594.00,126.00,47.40,188.49,767.40,2.76
K105540,367.80,318.60,17.50,229.29,703.90,2.96
K105570,445.80,183.60,55.20,193.82,684.60,3.53
K105610,549.60,237.00,92.40,280.56,879.00,1.87
K105710,547.20,301.50,12.00,224.28,860.70,3.11
K105740,583.80,267.30,66.00,226.01,917.10,3.14
K106340,516.60,380.70,95.50,218.67,992.80,2.30
K106510,476.40,273.60,64.20,231.83,814.20,4.88
K106530,413.40,225.30,106.00,182.58,744.70,6.05
K106540,692.40,39.00,73.50,243.26,804.90,5.92
K106590,620.40,214.20,56.40,248.95,891.00,2.93
K106720,577.80,95.10,189.00,243.88,861.90,4.61
K106730,400.20,255.30,34.20,218.15,689.70,3.22
K106960,501.60,334.80,42.00,251.48,878.40,3.89
K107120,466.20,162.30,127.80,246.49,756.30,3.09
K107320,470.40,219.60,19.80,214.40,709.80,4.44
K107380,672.60,224.70,66.00,287.46,963.30,2.51
K107520,352.80,232.80,69.60,207.80,655.20,3.90
K107730,433.20,311.70,70.20,217.43,815.10,3.33
K107890,514.20,270.00,100.20,184.28,884.40,2.78
K108030,596.40,252.90,92.50,256.13,941.80,8.48
K108050,692.40,203.70,66.50,190.50,962.60,2.73
K108140,504.00,237.30,39.00,183.03,780.30,2.43
K108160,758.40,102.00,54.00,210.88,914.40,8.39
K108190,651.00,315.00,17.00,310.24,983.00,3.02
